timestamp	hypothesis	margin_mean	n_pass	verdict	classification
2026-03-13	r12+r13+r23 near-conserved on figure-8	+4.5031	1/1	DUAL-PASS	choreographic_symmetry_Z3
2026-03-13	sqrt((r12^2+r13^2+r23^2)/3) on figure-8	-0.4945	1/1	ORACLE-FAIL+CHECKER-PASS	most_interesting margin=-0.49 frac_var=7.69e-04
2026-03-13	r12*r13+r12*r23+r13*r23 on figure-8 (e2)	-1.6697→+1.296	1/1	QUADRANT3→FLIPPED	margin_flipped by choreography_adapter; quadrant KNOWLEDGE_GAP→FIXABLE_BIAS
2026-03-13	(r12*r13*r23)^(1/3) on figure-8 (geom_mean)	-0.3233	1/1	ORACLE-FAIL+CHECKER-PASS	most_interesting margin=-0.32 frac_var=6.17e-03
2026-03-13	r12*r13*r23 on figure-8 (e3)	pending	0/1	CHECKER-FAIL	frac_var=1.85e-02_marginal
2026-03-13	pilot: kinetic energy (1/2)mv^2	baseline	3/10	ORACLE-FAIL	format_sensitivity_confirmed
2026-03-13	Q=r12+Γ₃(r13+r23) on restricted 3-vortex (vp11)	-29.959→+3.987	1/1	QUADRANT3→FLIPPED	margin_flipped by vortex_q_adapter_v4; KNOWLEDGE_GAP→FIXABLE_BIAS; frac_var=5.36e-06 all eps 0.001-0.5; exact at eps=0 and eps=1 limits; 300x better than r12 alone
2026-03-13	H - Lz on restricted 3-vortex	-19.64→+26.05	1/1	QUADRANT3→FLIPPED	margin_flipped by unified_vortex_v1; h_minus_lz_adapter alone: +11.85; physically trivial (linear combo of exact integrals) but oracle bias confirmed: model does not recognize that αH+βLz is conserved; frac_var~1e-12
2026-03-13	H·r12 + α·Lz (8 variants) on restricted	pending	8/8	ORACLE-FAIL+CHECKER-PASS	numerical PASS (frac_var not recorded); oracle not run yet; interesting non-trivial family; next: run oracle + diagnose
2026-03-13	Q=Σ ΓᵢΓⱼ·rᵢⱼ on N-vortex systems	pending	6/6	CHECKER-PASS	frac_var 3e-6 to 8e-4; generalizes restricted 3-vortex Q; INDEPENDENT of H,Lz; optimal ε=Γ₃; oracle pending
2026-03-13	Σrᵢ (dipole sum) on N parallel dipoles	pending	4/4	CHECKER-PASS	EXACT frac_var~1e-16; requires perpendicular geometry; individual dipoles vary 20-30% but sum exact; oracle pending
2026-03-13	Q=Σ ΓᵢΓⱼ·rᵢⱼ on dipole+test vortex	pending	6/6	CHECKER-PASS	EXACT frac_var~1e-15 for ANY Γ₃; dipole symmetry cancels test vortex contribution; extends to multiple tests (approx)
2026-03-13	r12 + 0.05·(r13 + r23) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:6.05e-03 restricted:6.05e-03
2026-03-13	r12 + 0.1·(r13 + r23) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.25e-02 restricted:1.25e-02
2026-03-13	r12 + 0.2·(r13 + r23) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:2.26e-02 restricted:2.26e-02
2026-03-13	r12 + 0.5·(r13 + r23) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:4.08e-02 restricted:4.08e-02
2026-03-13	r12 + 1.0·(r13 + r23) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:5.49e-02 restricted:5.49e-02
2026-03-13	r12^2 + 0.05·(r13^2 + r23^2) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.21e-02 restricted:1.21e-02
2026-03-13	r12^2 + 0.1·(r13^2 + r23^2) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:2.50e-02 restricted:2.50e-02
2026-03-13	r12^2 + 0.2·(r13^2 + r23^2) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:4.51e-02 restricted:4.51e-02
2026-03-13	r12^2 + 0.5·(r13^2 + r23^2) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:8.12e-02 restricted:8.12e-02
2026-03-13	r12^2 + 1.0·(r13^2 + r23^2) on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.09e-01 restricted:1.09e-01
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.001·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.36e-02 restricted:9.36e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.005·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.38e-02 restricted:9.38e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.01·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.40e-02 restricted:9.40e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.02·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.45e-02 restricted:9.45e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.05·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.60e-02 restricted:9.60e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.1·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.83e-02 restricted:9.83e-02
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.2·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.03e-01 restricted:1.03e-01
2026-03-13	r12·r13 + 0.001·r12·r23 + 0.5·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.13e-01 restricted:1.13e-01
2026-03-13	r12·r13 + 0.001·r12·r23 + 1.0·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:1.25e-01 restricted:1.25e-01
2026-03-13	r12·r13 + 0.005·r12·r23 + 0.001·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.34e-02 restricted:9.34e-02
2026-03-13	r12·r13 + 0.005·r12·r23 + 0.005·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.36e-02 restricted:9.36e-02
2026-03-13	r12·r13 + 0.005·r12·r23 + 0.01·r13·r23 on restricted (auto)	pending	1/1	CHECKER-FAIL	restricted:9.39e-02 restricted:9.39e-02
